DATE,PHOE004UR
1/1/90,4.4
2/1/90,4.4
3/1/90,4.4
4/1/90,4.5
5/1/90,4.5
6/1/90,4.5
7/1/90,4.5
8/1/90,4.4
9/1/90,4.3
10/1/90,4.3
11/1/90,4.2
12/1/90,4.2
1/1/91,4.2
2/1/91,4.3
3/1/91,4.4
4/1/91,4.6
5/1/91,4.8
6/1/91,5.1
7/1/91,5.3
8/1/91,5.5
9/1/91,5.8
10/1/91,6
11/1/91,6.2
12/1/91,6.5
1/1/92,6.6
2/1/92,6.8
3/1/92,6.8
4/1/92,6.8
5/1/92,6.7
6/1/92,6.6
7/1/92,6.6
8/1/92,6.5
9/1/92,6.4
10/1/92,6.3
11/1/92,6.1
12/1/92,6
1/1/93,5.8
2/1/93,5.6
3/1/93,5.5
4/1/93,5.3
5/1/93,5.2
6/1/93,5.1
7/1/93,5
8/1/93,4.9
9/1/93,4.9
10/1/93,4.8
11/1/93,4.8
12/1/93,4.8
1/1/94,4.8
2/1/94,4.8
3/1/94,4.8
4/1/94,4.7
5/1/94,4.7
6/1/94,4.7
7/1/94,4.6
8/1/94,4.6
9/1/94,4.5
10/1/94,4.4
11/1/94,4.2
12/1/94,4
1/1/95,3.9
2/1/95,3.8
3/1/95,3.7
4/1/95,3.7
5/1/95,3.7
6/1/95,3.6
7/1/95,3.6
8/1/95,3.6
9/1/95,3.6
10/1/95,3.6
11/1/95,3.6
12/1/95,3.6
1/1/96,3.7
2/1/96,3.7
3/1/96,3.8
4/1/96,3.8
5/1/96,3.9
6/1/96,3.9
7/1/96,3.9
8/1/96,3.8
9/1/96,3.8
10/1/96,3.7
11/1/96,3.7
12/1/96,3.6
1/1/97,3.5
2/1/97,3.3
3/1/97,3.2
4/1/97,3.1
5/1/97,3
6/1/97,2.9
7/1/97,2.9
8/1/97,2.8
9/1/97,2.8
10/1/97,2.8
11/1/97,2.8
12/1/97,2.8
1/1/98,2.8
2/1/98,2.7
3/1/98,2.7
4/1/98,2.7
5/1/98,2.7
6/1/98,2.7
7/1/98,2.8
8/1/98,2.8
9/1/98,2.9
10/1/98,3
11/1/98,3
12/1/98,3.1
1/1/99,3.2
2/1/99,3.2
3/1/99,3.2
4/1/99,3.2
5/1/99,3.2
6/1/99,3.1
7/1/99,3
8/1/99,3
9/1/99,3
10/1/99,3
11/1/99,3
12/1/99,3
1/1/00,3.3
2/1/00,3.3
3/1/00,3.3
4/1/00,3.3
5/1/00,3.3
6/1/00,3.3
7/1/00,3.3
8/1/00,3.3
9/1/00,3.2
10/1/00,3.2
11/1/00,3.2
12/1/00,3.2
1/1/01,3.3
2/1/01,3.4
3/1/01,3.5
4/1/01,3.7
5/1/01,3.9
6/1/01,4
